target_path_id,x,y,z,path_len,actual_path,similarity,length_score,robustness,final_score
1,29.2,41,41.4,16,"5, 6, 7, 8, 9, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29",1.0,1.0,0.0,1.0
1,20.4,43,43.2,16,"5, 6, 7, 8, 9, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29",1.0,1.0,0.0,1.0
1,22.4,48,47.8,16,"5, 6, 7, 8, 9, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29",1.0,1.0,0.0,1.0
1,28.3,46,46.4,16,"5, 6, 7, 8, 9, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29",1.0,1.0,0.0,1.0
1,30.3,41,34.2,17,"5, 6, 7, 8, 9, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29",0.9411764705882353,0.9411764705882353,0.0,0.9411764705882353
1,35.1,40,41.3,16,"5, 6, 7, 8, 9, 16, 17, 18, 20, 21, 24, 25, 26, 27, 28, 29",0.8823529411764706,1.0,0.0,0.9411764705882353
1,41.5,41,42.2,17,"5, 6, 7, 8, 9, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29",0.9411764705882353,0.9411764705882353,0.0,0.9411764705882353
1,36.9,41,49.2,16,"5, 6, 7, 8, 9, 16, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29",0.8823529411764706,1.0,0.0,0.9411764705882353
1,46.9,48,48.5,16,"5, 6, 7, 8, 9, 16, 17, 18, 19, 20, 21, 24, 26, 27, 28, 29",0.8823529411764706,1.0,0.0,0.9411764705882353
1,41.2,50,45.9,16,"5, 6, 7, 8, 9, 16, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29",0.8823529411764706,1.0,1.0,0.9411764705882353
1,49.2,48,42.3,16,"5, 6, 7, 8, 9, 16, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29",0.8823529411764706,1.0,0.0,0.9411764705882353
1,47.6,38,47.8,16,"5, 6, 7, 8, 9, 16, 17, 18, 20, 21, 24, 25, 26, 27, 28, 29",0.8823529411764706,1.0,0.0,0.9411764705882353
