Path 2 Selected Samples
x y z	Score	Sim	Pl	Rob
26 96 46	0.9453	1.0000	1.0000	0.8390
29 87 91	0.9400	1.0000	1.0000	0.8236
19 45 127	0.9393	1.0000	1.0000	0.8215
19 125 121	0.9385	1.0000	1.0000	0.8192
27 105 68	0.9354	1.0000	1.0000	0.8100
74 80 65	0.9328	0.9412	0.9412	0.9165
22 53 42	0.9309	1.0000	1.0000	0.7969
26 82 68	0.9304	1.0000	1.0000	0.7953
21 46 45	0.9303	1.0000	1.0000	0.7949
20 68 117	0.9272	1.0000	1.0000	0.7859
25 70 128	0.9243	1.0000	1.0000	0.7774
80 104 78	0.9234	0.8824	1.0000	0.8890
118 70 81	0.9199	0.8824	1.0000	0.8785
128 85 51	0.9198	0.9412	0.9412	0.8782
105 47 94	0.9188	0.8824	1.0000	0.8752
29 114 31	0.9170	1.0000	1.0000	0.7558
116 80 67	0.9165	0.8824	1.0000	0.8687
98 97 35	0.9161	0.9412	0.9412	0.8676
119 47 34	0.9160	0.9412	0.9412	0.8670
110 60 106	0.9152	0.8824	1.0000	0.8648
41 103 102	0.9145	0.9412	0.9412	0.8628
62 43 47	0.9144	0.8824	1.0000	0.8625
125 121 70	0.9144	0.9412	0.9412	0.8624
58 83 91	0.9137	0.9412	0.9412	0.8603
23 50 104	0.9135	0.9375	0.9375	0.8668
40 92 55	0.9134	0.9412	0.9412	0.8594
106 89 80	0.9133	0.8824	1.0000	0.8591
118 95 55	0.9127	0.9412	0.9412	0.8576
37 118 90	0.9126	0.9412	0.9412	0.8571
86 118 110	0.9124	0.9412	0.9412	0.8566
56 53 40	0.9119	0.9412	0.9412	0.8550
102 121 124	0.9114	0.9412	0.9412	0.8536
114 106 127	0.9108	0.8824	1.0000	0.8519
119 122 103	0.9106	0.9412	0.9412	0.8513
72 106 93	0.9106	0.8824	1.0000	0.8513
84 53 53	0.9106	0.9412	0.9412	0.8512
114 50 57	0.9105	0.9412	0.9412	0.8509
87 113 101	0.9102	0.8824	1.0000	0.8502
43 65 116	0.9101	0.8824	1.0000	0.8498
109 125 95	0.9101	0.8824	1.0000	0.8497
88 59 120	0.9098	0.8824	1.0000	0.8490
44 70 118	0.9098	0.8824	1.0000	0.8489
84 101 103	0.9094	0.8824	1.0000	0.8478
77 125 75	0.9082	0.8824	1.0000	0.8441
76 109 105	0.9081	0.9412	0.9412	0.8438
37 50 84	0.9081	0.8824	1.0000	0.8438
60 61 97	0.9078	0.9412	0.9412	0.8429
29 116 66	0.9076	0.9375	0.9375	0.8496
44 56 104	0.9071	0.9412	0.9412	0.8411
17 67 57	0.9071	1.0000	1.0000	0.7266
